Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TMA Slide 1 | 017 | Segment 1	0	0.354761738341593	0	0.0126963211306263	0.0286716210548822	0.0733389520117188	0.123230095609634	0.00277084395593357	0.0928140619324738	0.00653883319577677	0	0.173616665949281	0.0347860981731881	0.00227350517503321	0	0.219355474485201	0	0.0405875042175899	0.0791470808900144	0.00539937670089502	0.0240265296162824	0.0103258328032726	0	0.812154016441435	0.689212233524729	1.2843405352434
TMA Slide 1 | 017 | Segment 2	0.00904493654654515	0.27658931909988	0.0669480170619825	0.101682744272261	0	0.283645728581071	0.125489192033796	0.0102993493959134	0.178386966309391	0.0637135266136234	0.007051796602774	0.0900818235971162	0.0491190260039286	0	0.00864594235472578	0.239107215836768	0	0.0196923552916817	0.0780798518193826	0.0170197310692412	0.0008484063639701	0.0394642652272715	0	0.491991275543661	0.870918941768034	1.66491019408132
TMA Slide 1 | 018 | Segment 1	0	0.309545240892511	0.0299443156827168	0.185066505924262	0.0522064457690088	0	0.166799124840799	0.0184251050259793	0.0982845572464278	0	0	0.0871520425507615	0.119636892504691	0.00935176422306215	0.00578278732950604	0.194677483203587	0.00912304476545692	0	0.0536480813384708	0.00586678113719248	0.00522334136131068	0	0	0.761868026424777	0.724600084090227	1.35073351379574
TMA Slide 1 | 018 | Segment 2	0	0.362027602696842	0.0586708347759838	0.150043131685088	0	0.0401634674158151	0.0918013739357755	0	0.200631047675467	0.0496162345373085	0	0.0826435509366221	0.0790588009899273	0.0284443334046046	0	0.235035878258777	0.016375514625411	0.0347160414991738	0.109423420962728	0	0.0557358890766085	0.0139861753024341	0	0.596167800999945	0.819981649615753	1.60837329777857
TMA Slide 1 | 019 | Segment 1	0	0.319058965631022	0	0.17057480954349	0	0.0385319825728535	0.172797291360425	0	0.111011607983349	0	0	0.160009553746096	0.0888782882398539	0.0202291403008447	0.000971297173060689	0.129525485579169	0.00866724935594039	0	0.0988218879372778	0	0.00404906035410478	0	0	0.781898779883406	0.701687306798693	1.32312661977749
TMA Slide 1 | 019 | Segment 2	0	0.343445758963302	0.120616749127064	0.274221809803584	0	0.122106110880954	0	0	0.123182707423154	0	0	0.216062830706808	0.244483781138922	0.0411039167255029	0	0.0526985255564155	0	0.0187041269789548	0.0805794614151651	0	0	0	0	0.584138313870332	0.816726821207503	1.63720577871983
TMA Slide 1 | 020 | Segment 1	0	0.366697856544062	0	0.13548711095746	0	0.149791530223421	0.168616981710129	0	0.0823792010053116	0.0062009059957554	0	0.0632010958405935	0.0516233055658313	0	0	0.218114939275202	0.00287249593818416	0.012312891994128	0.0940460436791833	0	0	0.0334248514471241	0	0.782290316713494	0.710777384891466	1.38476921017639
TMA Slide 1 | 020 | Segment 2	0	0.298205211261667	0.100722906395617	0.142204445025833	0	0	0.175720741664847	0.0775695330136942	0.255721645671317	0.0899647328724838	0	0.0926610534389718	0.112648326354475	0.0049304884599605	0.0135664829477868	0.184760646133783	0.0423483087125281	0.01523486923916	0.0869090603018908	0.0280920378230575	0	0.0500435066627458	0	0.572875555914605	0.831073960473941	1.77130399597982
TMA Slide 1 | 021 | Segment 1	0	0.373740892520677	0	0.152698695762858	0	0.0478101661610952	0.103452159054198	0.00614710568270632	0.123698666326672	0.0139627346251182	0	0.147205688886345	0.0738067640367592	0	0	0.207259808526895	0.00537154876486493	0.0187334513208667	0.0622457190836079	0.0277036982522586	0	0.035017774950844	0	0.799237020078951	0.69217868786851	1.39885487395577
TMA Slide 1 | 021 | Segment 2	0	0.331395541813904	0	0.156012462093346	0	0.0786909868140518	0.254640573033331	0	0.143641544887424	0.0398269810651268	0.0647023701244403	0.02732484292641	0.0503703747052666	0.0177910228538704	0	0.258074029535841	0.00728940086986497	0.0214163396123516	0.136804574330308	0	0	0.0243999852467482	0	0.603063981827917	0.818595904386668	1.61238102991228
TMA Slide 1 | 022 | Segment 1	0	0.289860315158047	0	0.114319015143819	0	0.0612638816021126	0.0981194032880934	0	0.0643801422434429	0.0886399770589917	0	0.178113491997736	0.0123021769306793	0.0626100755294424	0	0.194038711005714	0	0.0560998989554588	0.105465645924959	0	0	0	0	0.727937330951236	0.737236976715387	1.3252127348385
TMA Slide 1 | 022 | Segment 2	0	0.303763333323972	0	0.0779119458933758	0	0.0674921781999203	0.109408290754777	0	0.122233800428447	0.0687307798680642	0	0.106277212242489	0.0753928517803978	0.156079495005425	0.00871826952602064	0.254451987435589	0	0	0.0717398610950767	0.0804723870521258	0	0.0393108273864403	0	0.820297181171316	0.699017694165509	1.54198321999212
TMA Slide 1 | 023 | Segment 1	0	0.286432556401607	0.00496646353639892	0.0166233569606553	0.0760393535129324	0.0774095550192617	0.160188183901992	0	0.0993349267816921	0.0924008005556236	0	0.195500473090364	0.0223188875436311	0	0	0.109567200859014	0	0.0269081944013541	0.0682825452320139	0	0	0.029952019979603	0	0.715962748482568	0.733665307963157	1.26592451777614
TMA Slide 1 | 023 | Segment 2	0	0.451550175016244	0.0512860833308726	0.0811424801633988	0	0.10249830275091	0.170760013890186	0	0.175849512343805	0.0788460474334184	0	0.119516911452815	0.0479470733629919	0	0	0.246107169061109	0.0151308413648959	0.0183170264772256	0.100517485825769	0	0	0.0588884343469523	0	0.527950139330185	0.852328566647402	1.71835755682059
TMA Slide 1 | 024 | Segment 1	0	0.239376797214506	0	0.0800940555412019	0	0.187564061692623	0.078114745644635	0.000629392613883885	0.105796255776038	0.0404100926982581	0	0.176228673967362	0.0951858114584537	0	0	0.255058227204536	0	0.0156034833325105	0.0958351575063903	0.001018899470132	0	0.00822250640830154	0	0.789459744652237	0.704022811162382	1.37913816052883
TMA Slide 1 | 024 | Segment 2	0	0.428673487747744	0.0544517102300772	0.0029787668166776	0	0.254748269635222	0.0389060170780255	0	0.0163738865059833	0.136673045891514	0	0.195485332946004	0.0594169390444823	0.0529891693114647	0.0178900959832758	0.132702471217727	0.0018602684235683	0.0172319353984653	0.12003716164552	0	0	0.0347024526263139	0	0.79218292108224	0.688028226399457	1.56512101050207
TMA Slide 1 | 025 | Segment 1	0	0.252090096990811	0	0.0153077839614756	0.0113187810615574	0.148982324232513	0.127650286328475	0	0.113460609514281	0.0938559582240536	0	0.198766366201855	0.082540065907827	0.0480502284724599	0	0.152052414196901	0.00669666231943854	0.0160136372006601	0.118808387006981	0.0285746543157593	0	0	0	0.794950615739615	0.698289294481374	1.41416825593505
TMA Slide 1 | 025 | Segment 2	0	0.393317454632179	0.0478943957514787	0.109215085597694	0.0369411861711445	0	0.121193968914116	0	0.183386048624167	0.0149492764159548	0	0.165575697551663	0.0832057183968328	0.0359210283432956	0	0.276996251472836	0.00363300474279121	0.00461369733748837	0.102783562680321	0	0	0.01007878578568	0	0.809579977702025	0.691446844787599	1.58970516241764
TMA Slide 1 | 026 | Segment 1	0	0.304928811744458	0	0.0476440805939588	0.0658790520175986	0.0580999846743318	0.134253464024029	0	0.0924394614763184	0.0881192821372057	0	0.133283902868164	0.0119867422721785	0.0599993702628248	0	0.177309490763948	0.00463814010113399	0.00983096344913048	0.0609200398428939	0.00448715388783958	0	0.0369264952425572	0	0.765703822872445	0.715259331311746	1.29074643535857
TMA Slide 1 | 026 | Segment 2	0	0.315292636603375	0.0152921094500011	0.0818193305139751	0	0.0868827762749274	0.126907186166596	0.0418725382830927	0.166822425516575	0.0215905147284265	0.087537621192713	0	0.0411553943198513	0.0594286837479567	0.0138026248358989	0.196723848175816	0.0129343477625499	0	0.0772307772642031	0	0	0.0280365885472128	0	0.729244073600536	0.745558469234791	1.37332940338317
TMA Slide 1 | 027 | Segment 1	0	0.253362639952442	0	0	0.0189329916356607	0.0951413110128278	0.111479468002186	0	0.116706691025361	0.0421369818305007	0.0503314558420834	0.130080515510436	0.0588388996874359	0.0482533335468711	0	0.195081380537903	0	0.000552234924210792	0.139518774483794	0	0	0.0165877020223818	0	0.735465631533062	0.742950330409727	1.27700438001409
TMA Slide 1 | 027 | Segment 2	0	0.26027473050429	0.0275826557591351	0.123727981218348	0	0.0690109806025251	0.217066709538629	0	0.141594482958877	0.0339425512517311	0	0.0868703204110986	0.0264765782399971	0.072496058232832	0.00346363541495095	0.240118438704268	0.00409745842073272	0.00429380781631176	0.0825723911520587	0.0198889213919995	0	0.0156225546399542	0	0.765576501032612	0.730233392671349	1.42910025625774
TMA Slide 1 | 028 | Segment 1	0	0.383576577543738	0	0	0.0635867468584634	0.0137190036681366	0.123902404693906	0.00418732827565289	0.0961411031928001	0.136185107704645	0	0.150381683728661	0.0874169647786579	0	0	0.140228315118927	0	0.0559100483528223	0.0576662011592239	0.0663666199996843	0	0.0135044551797057	0	0.731515350437775	0.735117035457932	1.39277256025502
TMA Slide 1 | 028 | Segment 2	0	0.300963378799818	0.0552374600322168	0.182769193320946	0.0333800570040816	0	0.173976066432669	0	0.0613767117748533	0.0712888473025431	0	0.173688154096806	0.0203096824389579	0.0505295305976209	0	0.145214871134306	0.000805691803410062	0.059772502856875	0.104093046862937	0	0	0.0463992380837607	0	0.740639536391727	0.732600921229441	1.4798044325418
TMA Slide 1 | 029 | Segment 1	0	0.402705970660982	0	0.0520210775355654	0.0363589875679107	0	0.167187903512509	0.0104844119881454	0.0990310564876254	0.110362440394987	0	0.128449045890971	0.145364059720391	0	0	0.0858564881444236	0	0.0308301125699792	0.0790138056357661	0.0105285291129432	0.000802691343051959	0	0	0.763660017217241	0.709929724540303	1.35899658056525
